"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.412203658E0,6.427288055E-2,1.707000613E0,-1.551465988E-1
1.417195742E0,2.791881561E-3,1.910372376E0,1.032047272E-1
1.422187825E0,2.179704905E-1,1.724215269E0,3.812255859E-1
1.427179908E0,2.078480124E-1,1.501754999E0,6.171369553E-1
1.432171992E0,4.144604802E-1,1.150848627E0,9.496765137E-1
1.437164075E0,7.541936040E-1,9.034011364E-1,1.249902725E0
1.442156158E0,9.496065378E-1,9.669272900E-1,1.250713348E0
1.447148242E0,1.134999037E0,1.195575356E0,1.181985855E0
1.452140325E0,1.095811725E0,1.253347158E0,1.067480087E0
1.457132408E0,7.764967680E-1,1.269534707E0,8.780260086E-1
1.462124492E0,4.792804718E-1,1.265299201E0,4.124336243E-1
1.467116575E0,3.313822746E-1,1.286118746E0,4.778385162E-2
1.472108658E0,2.131390572E-1,1.286134601E0,-3.836002350E-1
1.477100742E0,8.522260189E-2,1.292406917E0,-1.187174797E0
1.482092825E0,-6.481492519E-2,1.317981958E0,-2.061103821E0
1.487084908E0,-1.650290489E-1,1.242199659E0,-2.828499794E0
1.492076992E0,-5.889576077E-1,9.105716944E-1,-3.327178478E0
1.497069075E0,-9.214329123E-1,4.358898401E-1,-3.634174347E0
1.502061158E0,-1.042921662E0,-1.133185625E-1,-3.750059128E0
1.507053242E0,-9.947973490E-1,-5.160483122E-1,-3.995419979E0
1.512045325E0,-8.250319362E-1,-8.338663578E-1,-4.169851780E0
1.517037408E0,-7.001665235E-1,-1.090791106E0,-4.168898106E0
1.522029492E0,-5.430007577E-1,-1.306952000E0,-4.031319141E0
1.527021575E0,-3.053179383E-1,-1.545780182E0,-3.690582275E0
1.532013658E0,4.731631279E-2,-1.718207479E0,-3.194853306E0
1.537005742E0,4.011974335E-1,-1.778373122E0,-2.792564392E0
1.541997825E0,6.904628277E-1,-1.746885180E0,-2.382995129E0
1.546989908E0,9.830932617E-1,-1.692148209E0,-1.970728397E0
1.551981992E0,1.399246931E0,-1.586930990E0,-1.512593269E0
1.556974075E0,1.771772265E0,-1.471572399E0,-9.367504120E-1
1.561966158E0,2.276911259E0,-1.438925028E0,-1.762752533E-1
1.566958242E0,2.840654373E0,-1.481406808E0,5.970535278E-1
1.571950325E0,3.200229645E0,-1.610841274E0,1.259545326E0
1.576942408E0,3.411986828E0,-1.806312799E0,2.021740913E0
1.581934492E0,3.444650173E0,-1.890170693E0,2.826507568E0
1.586926575E0,3.084734440E0,-1.641511321E0,3.397311211E0
1.591918658E0,2.651494980E0,-1.449089289E0,3.768774986E0
1.596910742E0,1.889513254E0,-8.623266220E-1,3.741210938E0
1.601902825E0,-1.515759826E-1,1.959391832E-1,4.055770874E0
1.606894908E0,-9.204934835E-1,5.702643394E-1,4.005174637E0
1.611886992E0,-5.385147333E-1,4.371205568E-1,3.337105751E0
1.616879075E0,-1.047151089E-1,2.882707119E-1,2.448935509E0
1.621871158E0,4.028555155E-1,2.462654114E-1,1.326120377E0
1.626863242E0,5.000020266E-1,4.002110958E-1,2.976636887E-1
1.631855325E0,7.100452185E-1,5.134003162E-1,-5.468740463E-1
1.636847408E0,7.907929420E-1,6.690196991E-1,-1.180150032E0
1.641839492E0,7.593903542E-1,8.256669044E-1,-1.722950935E0
1.646831575E0,6.414926052E-1,9.133834839E-1,-2.276456356E0
1.651823658E0,6.170938611E-1,7.665495872E-1,-2.444581032E0
1.656815742E0,4.556863308E-1,7.438640594E-1,-2.595937729E0
1.661807825E0,2.722361684E-1,7.111053467E-1,-2.577673912E0
1.666799908E0,8.491420746E-2,6.679699421E-1,-2.347001076E0
1.671792044E0,-2.087687850E-1,6.427290440E-1,-2.209623814E0
1.676784179E0,-4.184909463E-1,6.397345066E-1,-2.064660549E0
1.681776315E0,-6.176669002E-1,6.249775887E-1,-2.083585262E0
1.686768450E0,-6.912286282E-1,6.080675125E-1,-2.213250637E0
