"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.817966107E1,6.151109948E1,2.361056969E1,1.276585744E2,1.240000010E0,4.990000153E1,3.790092468E0,2.500000000E0
6.917953685E1,6.151110937E1,2.361058794E1,1.276679825E2,1.190000057E0,4.620000076E1,3.790092468E0,2.500000000E0
7.017945888E1,6.151111915E1,2.361060548E1,1.275949929E2,1.139999986E0,4.850000000E1,3.790092468E0,2.500000000E0
7.117955237E1,6.151112770E1,2.361062444E1,1.273593438E2,1.149999976E0,5.129999924E1,3.790092468E0,2.500000000E0
7.217972674E1,6.151113445E1,2.361064285E1,1.267005365E2,8.299999833E-1,5.970000076E1,3.790092468E0,2.500000000E0
7.317998013E1,6.151113889E1,2.361066113E1,1.270936683E2,8.799999952E-1,6.919999695E1,9.935046196E0,2.500000000E0
7.418004299E1,6.151114410E1,2.361068300E1,1.269376066E2,1.039999962E0,7.230000305E1,9.935046196E0,2.500000000E0
7.517928226E1,6.151114997E1,2.361070400E1,1.267160546E2,8.399999738E-1,6.440000153E1,9.935046196E0,2.500000000E0
7.617951377E1,6.151115605E1,2.361072299E1,1.269433552E2,7.599999905E-1,5.850000000E1,9.935046196E0,2.500000000E0
7.717957758E1,6.151116240E1,2.361074390E1,1.271928729E2,1.110000014E0,5.779999924E1,9.935046196E0,2.500000000E0
7.817969294E1,6.151116966E1,2.361076854E1,1.276861048E2,1.090000033E0,6.179999924E1,9.935046196E0,2.500000000E0
7.918000909E1,6.151117662E1,2.361079366E1,1.275498200E2,1.149999976E0,6.270000076E1,9.935046196E0,2.500000000E0
8.017996461E1,6.151118311E1,2.361081638E1,1.272364106E2,7.699999809E-1,6.469999695E1,9.935046196E0,2.500000000E0
8.117925549E1,6.151118901E1,2.361083776E1,1.273177762E2,9.800000191E-1,6.530000305E1,9.935046196E0,2.500000000E0
8.217940299E1,6.151119494E1,2.361086102E1,1.270563684E2,9.499999881E-1,6.540000153E1,9.935046196E0,2.500000000E0
8.317957382E1,6.151120087E1,2.361088593E1,1.266611105E2,1.080000043E0,6.559999847E1,9.935046196E0,2.500000000E0
8.417971575E1,6.151120727E1,2.361090914E1,1.270018759E2,1.019999981E0,6.150000000E1,9.935046196E0,2.500000000E0
8.517963059E1,6.151121452E1,2.361093327E1,1.268697417E2,1.149999976E0,6.229999924E1,9.935046196E0,2.500000000E0
8.617996434E1,6.151122160E1,2.361095683E1,1.267219822E2,1.000000000E0,6.409999847E1,9.935046196E0,2.500000000E0
8.717935632E1,6.151122821E1,2.361097990E1,1.266947058E2,1.000000000E0,6.469999695E1,9.935046196E0,2.500000000E0
8.817979502E1,6.151123531E1,2.361100615E1,1.271286726E2,1.320000052E0,6.669999695E1,9.935046196E0,2.500000000E0
8.917957721E1,6.151124160E1,2.361102981E1,1.269513105E2,9.599999785E-1,6.379999924E1,9.935046196E0,2.500000000E0
9.017955299E1,6.151124758E1,2.361105137E1,1.271168436E2,1.110000014E0,6.530000305E1,9.935046196E0,2.500000000E0
9.117976366E1,6.151125506E1,2.361107394E1,1.277103564E2,1.200000048E0,5.909999847E1,9.935046196E0,2.500000000E0
9.217980809E1,6.151126288E1,2.361109498E1,1.278561155E2,1.149999976E0,5.850000000E1,9.935046196E0,2.500000000E0
9.318006726E1,6.151127061E1,2.361111700E1,1.278785225E2,1.190000057E0,5.750000000E1,9.935046196E0,2.500000000E0
9.418002871E1,6.151127785E1,2.361113951E1,1.277570083E2,1.190000057E0,6.259999847E1,9.935046196E0,2.500000000E0
9.517980892E1,6.151128504E1,2.361116140E1,1.277626912E2,1.200000048E0,6.259999847E1,9.935046196E0,2.500000000E0
9.617976564E1,6.151129309E1,2.361118625E1,1.279749790E2,1.360000014E0,6.170000076E1,9.935046196E0,2.500000000E0
9.717965835E1,6.151130121E1,2.361121072E1,1.278275256E2,1.269999981E0,6.000000000E1,9.935046196E0,2.500000000E0
9.817985090E1,6.151130788E1,2.361123524E1,1.274304983E2,1.309999943E0,6.419999695E1,9.935046196E0,2.500000000E0
9.917965449E1,6.151131469E1,2.361126078E1,1.272775508E2,1.370000005E0,6.409999847E1,9.935046196E0,2.500000000E0
1.001794847E2,6.151132115E1,2.361128532E1,1.271136776E2,1.299999952E0,6.379999924E1,9.935046196E0,2.500000000E0
1.011793819E2,6.151132791E1,2.361130815E1,1.269872802E2,1.240000010E0,5.800000000E1,9.935046196E0,2.500000000E0
1.021800473E2,6.151133459E1,2.361133111E1,1.265044985E2,1.330000043E0,6.229999924E1,9.935046196E0,2.500000000E0
1.031795338E2,6.151134019E1,2.361135605E1,1.268448361E2,1.309999943E0,6.580000305E1,9.935046196E0,2.500000000E0
1.041799337E2,6.151134495E1,2.361138139E1,1.267464524E2,1.299999952E0,7.000000000E1,9.935046196E0,2.500000000E0
1.051793955E2,6.151134893E1,2.361140806E1,1.267868010E2,1.370000005E0,7.230000305E1,9.935046196E0,2.500000000E0
1.061793067E2,6.151135298E1,2.361143483E1,1.271853040E2,1.360000014E0,7.340000153E1,9.935046196E0,2.500000000E0
1.071793417E2,6.151135520E1,2.361146110E1,1.272503094E2,1.320000052E0,7.990000153E1,9.935046196E0,2.500000000E0
1.081794797E2,6.151135541E1,2.361148746E1,1.273566952E2,1.340000033E0,8.759999847E1,9.935046196E0,2.500000000E0
1.091798533E2,6.151135235E1,2.361151312E1,1.271532028E2,1.370000005E0,1.023000031E2,9.935046196E0,2.500000000E0
1.101801483E2,6.151134442E1,2.361153469E1,1.269959710E2,1.379999995E0,1.181999969E2,9.935046196E0,2.500000000E0
1.111797152E2,6.151133320E1,2.361155188E1,1.271667394E2,1.299999952E0,1.345000000E2,9.935046196E0,2.500000000E0
1.121802032E2,6.151131997E1,2.361156226E1,1.272604795E2,1.320000052E0,1.506999969E2,9.935046196E0,2.500000000E0
1.131795072E2,6.151130495E1,2.361156690E1,1.275391545E2,1.440000057E0,1.633999939E2,9.935046196E0,2.500000000E0
1.141802196E2,6.151128959E1,2.361156517E1,1.271817815E2,1.330000043E0,1.738000031E2,9.935046196E0,2.500000000E0
1.151799829E2,6.151127542E1,2.361155932E1,1.274686353E2,1.299999952E0,1.800000000E2,9.935046196E0,2.500000000E0
1.161800426E2,6.151126212E1,2.361155268E1,1.275911221E2,1.259999990E0,1.831999969E2,9.935046196E0,2.500000000E0
1.171799075E2,6.151124905E1,2.361154444E1,1.277716535E2,1.309999943E0,1.856000061E2,9.935046196E0,2.500000000E0
1.181795488E2,6.151123532E1,2.361153649E1,1.276907707E2,1.559999943E0,1.856999969E2,9.935046196E0,2.500000000E0
1.191802086E2,6.151122201E1,2.361153037E1,1.275437263E2,1.490000010E0,1.876999969E2,9.935046196E0,2.500000000E0
1.201799082E2,6.151120855E1,2.361152423E1,1.277100363E2,1.590000033E0,1.876999969E2,9.935046196E0,2.500000000E0
1.211793805E2,6.151119514E1,2.361151988E1,1.276172521E2,1.490000010E0,1.876999969E2,9.935046196E0,2.500000000E0
1.221802072E2,6.151118267E1,2.361151757E1,1.276636900E2,1.490000010E0,1.841000061E2,9.935046196E0,2.500000000E0
1.231799603E2,6.151116983E1,2.361151683E1,1.276675251E2,1.490000010E0,1.791999969E2,9.935046196E0,2.500000000E0
1.241799672E2,6.151115677E1,2.361151787E1,1.278167458E2,1.580000043E0,1.780000000E2,9.935046196E0,2.500000000E0
1.251793717E2,6.151114347E1,2.361151747E1,1.280207759E2,1.610000014E0,1.813999939E2,9.935046196E0,2.500000000E0
1.261797095E2,6.151113034E1,2.361151474E1,1.279276868E2,1.570000052E0,1.853000031E2,9.935046196E0,2.500000000E0
1.271801912E2,6.151111767E1,2.361151194E1,1.279889561E2,1.529999971E0,1.861999969E2,9.935046196E0,2.500000000E0
1.281794282E2,6.151110535E1,2.361150931E1,1.281416562E2,1.549999952E0,1.848000031E2,9.935046196E0,2.500000000E0
1.291795727E2,6.151109324E1,2.361150640E1,1.282064049E2,1.509999990E0,1.843000031E2,9.935046196E0,2.500000000E0
1.301796366E2,6.151108070E1,2.361150441E1,1.283091171E2,1.559999943E0,1.826000061E2,9.935046196E0,2.500000000E0
1.311794067E2,6.151106785E1,2.361150354E1,1.284720709E2,1.620000005E0,1.823000031E2,9.935046196E0,2.500000000E0
1.321797726E2,6.151105504E1,2.361150366E1,1.286208035E2,1.559999943E0,1.801000061E2,9.935046196E0,2.500000000E0
